Nombre,RUT
Inversiones Capital Humano Limitada,76606980-0
Inmobiliaria Asesorias e Inversiones Don Larra Limitada ,76364260-7
Asesorias e Inversiones Limache Limitada,76061167-0
Los Sauces SpA,77227415-7
Inversiones Capital Humano II Limitada ,77569083-6
A Erre Cuadrado Arquitectos y Ca. Limitada,76848130-K
Inversiones A Erre SpA,77576436-8
Asesorias e Inversiones Oro Rojo Limitada,77927140-4
Inmobiliaria y Servicios C y B Limitada,78414680-4
Francisca Charlin Comercial Limitada,76080567-K
Asesorias y Gestion Inmobiliaria C y B Limitada ,76080571-8
Grupo C y B Limitada,76824934-2
Constructora DMW Limitada,76033574-6
Inversiones e Inmobiliaria Winer Limitada,76030481-6
Inmobiliaria Winer Propiedades Limitada,76858270-K
Energici Tavoletti y Asociados Limitada,77877900-5
Comercializadora Cat Lotus Limitada,77981494-7
Cirugia Espinal Schulz y Cia. Limitada,76395786-1
Equipos Medicos G-Medical SpA,76395791-8
Inmobiliaria e Inversiones Los Robles Limitada,76336398-8
Inversiones Los Robles Limitada,77241700-4
Inversiones Roble Verde Limitada,76448664-1
Aserradero Los Robles Limitada,50069510-2
Bodegas Talca Limitada ,77536050-K
Koi SpA,77712685-7
Inmobiliaria y Comercial Santa Mariana III S.A.,76007255-9
Inmobiliaria y Comercial Santa Mariana II Limitada,77475670-1
Inversiones Conmer Limitada,76317784-K
Inmobiliaria y Comercial San Vicente Limitada,77669450-9
Internet Security de Chile Limitada,78885360-2
Martinez y Compaa Limitada,77989830-K
Martinez y Asociados S.A.,78473070-0
Inversiones y Agricola Lekeitio S.A.,78495520-6
Maria Soledad Alvear Valenzuela Consultoria E.I.R.L.,76383814-5
Inversiones D V Limitada,76383712-2
Sociedad Comercial Invercom Limitada,78469840-8
Inmobiliaria e Inversiones Entrelagos Limitada,77235440-1
Comercial  Ranco Limitada,76383716-5
Inversiones La Espiga Limitada,76285428-7
Inversiones Vargas Limitada,76359827-6
Inversiones Vargas Salamanca Limitada ,77533285-9
Martinez y Guerrero Limitada,76509820-3
Velasco y Compaa S.A.,96586740-6
Asesorias e Inversiones Eleve Limitada,76164620-6
"Servicios Juridicos Vidal, Soler Asociados y Ca. Limitada",76532576-5
Asesosrias Juridicas Vidal Limitada,76119460-7
Sociedad de Inversiones Colina La Gloria Limitada,76070710-4
Sociedad de Profesionales Liberman y Bronfman Limitada,77854420-2
Trammo Chile Limitada,77853380-4
Vortex Consultores Limitada,76091870-9
Asesorias e Inversiones Sil-Bermann Limitada,77927160-9
Inmobiliaria e Inversiones Yargal Limitada,76024349-3
Lubricantes Internacionales Limitada,79864770-9
Inversiones Century Midas SpA,78326070-0
FDL Servicios Industriales Limitada,78331320-0
Inversiones Eklonia Limitada,78326080-8
Gli Autopartes Limitada,76175020-8
GRK Servicios Financieros Limitada ,76238032-3
Importadora Millennium Limitada,77004500-2
Inmobiliaria Buzo Sobenes Limitada ,76127147-4
Abastecedora del Transporte Iquique Limitada,78178000-6
Servicios Automotrices Cambio y Fuera Limitada,76185140-3
Supra Rent a Car SpA,77423178-1
Inversiones Laguna Foitzick SpA,77494289-0
Inversiones Cimi SpA,77645661-6
Inversiones Damida Limitada,77700861-7
Inmobiliaria FN Limitada,76637222-8
Kings BH SpA,78089165-3
The Bears SpA,78098358-2
Waimanalo SpA,78089172-6
Inversiones Don Gerty SpA,78098355-8
Promet Servicios SpA,96853940-K
Promet Transportes SpA,76248012-3
Promet Maquinarias y Equipos SpA,76248021-2
Servicios Industriales SpA,76576479-3
Consorcio RT SpA,76894365-6
Inversiones Agua Verde Limitada,78325380-1
Comercial Cabaret de Nuit SpA,79882070-2
Inmobiliaria Pacheco Morales y Cia. SpA,79839730-3
Zola Producciones SpA,79882060-5
Estacionamientos Subterraneos Valparaiso S.A,96835420-5
Inversiones y Servicios Malambo Limitada,76132810-7
Inversiones S y G SpA,77176996-9
Inversiones Lago Yelcho Limitada,78373780-9
Inversiones y Rentas R Y B Limitada,78771290-8
Industria Metalurgica Nacional de Acero Limitada,81234600-8
Inmobiliaria y Rentas La Cabaa Limitada,78589190-2
Inversiones IMAN SpA,77684543-4
Inversiones y Asesorias LPT Limitada,76835030-2
Inversiones Medicas Invermed Limitada,76001666-7
Inmobiliaria Boncy Limitada,76664470-8
Inversiones Invert Limitada,96920300-6
Inversiones e Inmobiliaria Real Limitada,79504510-4
Inversiones e Inmobiliaria El Porvenir Limitada,76005640-5
Inversiones e Inmobiliaria Portugal Limitada,89172500-0
Inversiones e Inmobiliaria Real II Limitada,77719811-4
Inversiones e Inmobiliaria Portugal II Limitada,77712742-K
Inversiones e Inmobiliaria Real III Limitada,77719801-7
Inversiones e Inmobiliaria Real IV Limitada,77719799-1
Inversiones Atid Limitada,76337057-7
Asesoras RBS SpA,77373618-9
Inversiones Kolon Limitada,96609230-0
Inversiones e Inmobiliaria Felcam Limitada,76380256-6
Inversiones Kolon II Limitada,77719824-6
Inversiones y Asesorias El Huinganal Limitada,76312272-7
Inversiones e Inmobiliaria Patish Limitada,76337037-2
Inversiones e Inmobiliaria Korcam Limitada,76337043-7
Inmobiliaria e Inversiones La Primera Limitada,96841840-8
ILAN SpA,77756630-K
Inversiones e Inmobiliaria Shefa Limitada,77479094-2
Comercial RedColor Limitada,77896800-2
Inmobiliaria e Inversiones Parnasa SpA,77658897-0
Inversiones Hayarkon SpA,77662689-9
Sociedad Inmobiliaria e Inversiones Kadima Limitada,99521220-K
Microplay Chile Limitada,96881720-5
Chilean Trading Company S.A. ,96785290-2
Envases Desechables Chile S.A.,76231154-2
Sociedad Telecorp Chile S.A.,96856410-2
World Pack S.A.,99516750-6
Inversiones e Importaciones Magniv SpA,76984192-K
Inmobiliaria Jashes Cabib SpA,77811098-9
Inversiones ECMV Limitada,76005897-1
Inversiones Longisur Limitada,83668500-8
Inversiones Via Celeste Limitada,77048450-2
Inversiones Garben Ltda,76126758-2
Inversiones Mulchen SpA,96537460-4
Inversiones Mulchen US SpA,77497981-6
Sociedad Agricola Imel Limitada,76602602-8
Manieu Servicios Medicos e Inversiones Limitada,76448018-K
Race SpA,76362345-9
Constructora Briceo Limitada,87867400-6
Inversiones e Inmobiliaria Rangue S.A.,96892290-4
Antonio Hasbun S. Limitada,50081730-5
Industrial y Comercial Hasbun Limitada,84901900-7
Antonio Hasbun Selman Limitada,50341900-9
Inversiones Aku Limitada,76879606-8
Inversiones Rupa Limitada,76879335-2
Inversiones Rupa US SpA,77696234-1
RG Ingenieros Asociados Limitada,76155557-K
RG Ingenieros Limitada,79848760-4
Inmobiliaria y Servicios Quilapangui S.A.,99531310-3
RG Asesora y Servicios de Ingenieria Limitada ,76704129-2
Gonzalez - Ordoez Limitada ,77955934-3
Silva y Ca. Ltda.,77126010-1
Ferbras S.A.,96704460-1
Eurobras Importadora y Comercial Limitada,96984770-1
HTB Inmobiliaria e Inversiones Limitada,76047981-0
Persianas Chile SpA,76296545-3
Eurobras Herrajes Limitada,76411726-3
Airolite S.A.                       ,92681000-6
Asesorias e Inversiones Estocolmo Limitada,76096649-5
Inversiones Airol SpA,77019470-9
Transportes Manquehue SpA,86991800-8
Constructora e Inmobiliaria Santa Rosa Limitada,77417810-4
Inversiones JP S.A.,76037874-7
Inversiones SNC Limitada,76862310-4
Inversiones Vidal Limitada,96594050-2
Eleaonora Sola y Ca. Limitada,76671650-4
Inversiones Santa Veronica y Cia. Limitada,76120609-5
Sociedad de Prestaciones de Servicios Las Flores Limitada,76045495-8
Inmobiliaria Plaza Real Dos Limitada,96924300-8
Inversiones Moncayo Limitada,96546260-0
Inversiones y Rentas Leyre Limitada,76713900-4
Inversiones San Fermin SpA,77815054-9
Inversiones y Rentas Eunate Limitada,77823460-2
Constructora e Inmobiliaria Urbion Limitda ,76246795-K
Inversiones Vista Hermosa SpA,76984600-K
Cirilo Cordova y  Cia. Limitada ,84129500-5
Inversiones y Rentas Los Pinos Limitda ,77823550-1
Ficap S.A.,87087000-0
Pacifica Inversiones Limitada,77868790-9
Inversiones Don Pedro S.A.,76165937-5
Rodoviario Melipilla S.A. (Romesa),96727100-4
Transportes Alfa S.A.,89543300-4
Pacifica Transportes Limitada,76535970-8
Inversiones El Fogon Limitada ,76602792-K
Casas Alfa S.A.,76739079-3
Feria de Remate de la Provincia de Melipilla ,89224900-8
Transporte de Pasajeros Gama Limitada ,76112255-K
Cambios Divisas Limitada,76886630-9
Emp. de Prestacion de Serv. al Transp. de Pasajeros Limitada (Ruta Bus Cargo),76095053-K
Inmobiliaria Fuenzalida Limitada,77358230-0
Gastronomica Huishue S.A.,77433121-2
Gastronomica Beta Limitada,76112251-7
Inversiones y Asesorias Tremu Ayun Limitada,76735250-6
Sociedad de Inversiones y Asesorias Profesionales Antu Limitada,76148583-0
Sociedad de Inversiones y Asesorias Profesionales N¡2 Limitada,78491070-9
Prestaciones Medicas Suarez Garcia Limitada,78486410-3
Transmoneda Limitada,79518000-1
Transportes Cerrillos Limitada,86600000-K
Williamson Industrial S.A.,81140300-8
Agricola Azucenas Limitada,77265220-8
Moldajes Alsina Limitada,77879620-1
Inversiones San Ignacio Limitada (Promas),78501250-K
Asesorias Profesionales Promas Limitada,77173560-6
Gestion y Desarrollo Apolo SpA,77565331-0
Maspro SpA,77715971-2
Sociedad de Servicios Medicos Enrique Jadresic Limitada,76041916-8
Asesorias D y J Limitada,76179741-7
Inmobiliaria Alejandro  Sauma Ltda.,76629812-5
Constructora Bursol Limitada,84366700-7
Sociedad de Inversiones Burgos Hormazabal Limitada,77128620-8
Sociedad de Inversiones Fernando Alcaino Limitada,77146900-0
Sociedad de Inversiones Loreto Burgos e Hijos Limitada,76240613-6
Sociedad de Inversiones Mario Gomez e Hijos Limitada,77146880-2
Comercializadora y Distribuidora Vivanco S.A.,96562640-9
Comercial e Inmobiliaria Visan Limitada,76028265-0
Inversiones Mar Mediterraneo Limitada,76063685-1
Asesoria en Postventa Automotriz y Camiones JJ Egenau P.  E.I.R.L.,77125322-9
Great Packaging Latam SpA,77190699-0
Gran Radal SpA,77393435-5
Schonfeldt Vidamedica SpA,76352414-0
Sociedad De Inversiones Chacabuco Limitada,77089261-9
Fletcher Y Compaia Limitada,76041369-0
Comercializadora Hospitalmarket SpA,77910467-2
Inmobiliaria Del Plata S.A.,76109252-9
Radio Victoria S.A.,76011549-5
Comercial Angelini Limitada,88082600-K
Favitorr S.A. ,88295200-2
Transportes Viel Limitada ,78130510-3
Inversiones Inmobiliarias y Constructora San Simn Limitada,76098024-2
Contacto Gestion en Mediacion y Ases. Com. y Juridicas Limitada,76005113-6
Zitron Chile SpA,76900150-6
P & M Odontologos SpA,77011896-4
Sociedad de Profesionales Lukacs Carmona Limitada,76058955-1
Sociedad de Profesionales Medicos Diam Limitada,77614872-5
CLM Software Chile SpA,77542467-2
Glowlight Iluminacin y Producciones Limitada,76510500-5
Kreston ATC Chile Auditores Consultores Limitada,77696803-K
Sociedad de Servicios Cogutsa Limitada,96948160-K
Inmob y Serv Habitacionales RYK Limitada,77442968-9
Inversiones Las Araucarias Limitada,77581570-1
Ragaco Constructora Limitada,76371361-K
Outdoor Chile Publicidad SpA,84383200-8
Outdoor Servicios Publicitarios SpA,77516720-3
Outdoor Asesorias y Comercializacion Publicitaria SpA,77516690-8
Giganto Outdoor Servicios Publicitarios SpA,99555460-7
Sociedad de Transportes Alfredo Zepeda Parada EIRL,76412359-K
Inversiones e Inmobiliaria Futuro 3 Limitada,76356646-3
Estudio Tres Limitada,78728810-3
Inmobiliaria La Capitania Limitada,79823190-1
Inversiones Bronfman y Ca. Limitada,78756830-0
Eco El Pollito SpA ,77724244-K
Soc. de Profesionales en Educ. Parvularia Eco EL Pollito Limitada,77830928-9
A&M Arquitectura e Ingenieria SpA,77740508-K
Soc. De Inversiones Leon Y Lechuga SpA ,78155682-3
Incomex SpA,78172619-2
